index,paris,london,madrid,berlin,milano,barcelona,athinia,roma,birmingham,lisboa,napoli,katowice,manchester,hamburg,budapest,bucuresti,warszawa,stuttgart,wien,münchen,brussels,stockholm,frankfurt am main,köln,kobenhavn,valencia,torino,glasgow,praha,lyon,sofia,liverpool,porto,sevilla,dublin,helsinki,amsterdam,rotterdam,düsseldorf,essen-oberhausen,lille,lodz,marseille,antwerp,bilbao,newcastle,krakow,bochum-herne,thessaloniki,nürnberg,riga,duisburg,dortmund,hannover,zürich,oslo,bremen,dresden,sheffield,palermo,poznan,gelsenkirchen-bottrop,bordeaux,wroclaw,göteborg,zaragoza,genova,catania,den haag,toulouse,bristol,vilnius,saarbrücken,malaga,nantes,leeds,nottingham,firenze,gdansk,leipzig,mannheim,belfast,portsmouth,venezia,edinburgh,murcia,nice,liège,bratislava,leicester,karlsruhe,bergamo,palma de mallorca,bologna,bielefeld,rouen,strasbourg,tallinn,szczecin,grenoble
paris,574,250,39,105,3,40,0,8,19,0,2,2,32,26,22,0,0,5,1,0,48,32,0,2,0,12,1,24,0,35,11,19,10,0,30,12,45,13,9,0,19,0,12,21,2,14,1,0,4,1,6,3,2,0,17,9,2,17,8,12,0,0,19,0,0,5,1,2,0,29,15,3,0,0,13,13,5,2,0,18,7,6,7,3,37,3,27,10,4,8,5,2,0,23,0,13,26,6,1,2
london,250,846,45,129,3,42,0,12,66,0,2,2,89,36,25,0,0,11,7,2,43,38,0,1,0,13,1,59,0,25,14,51,7,1,67,17,61,18,10,0,13,0,12,26,3,37,1,0,6,1,8,2,3,1,17,15,9,17,32,5,0,0,16,0,1,5,0,1,0,15,43,3,0,0,8,45,19,1,1,22,6,32,27,1,95,2,38,12,5,26,4,1,0,13,0,8,25,7,0,0
madrid,39,45,89,16,0,32,0,8,5,0,4,3,14,5,6,0,0,4,0,0,6,5,0,0,0,13,2,11,0,4,4,10,6,5,7,4,10,9,3,0,1,0,5,7,4,9,1,0,1,1,2,1,2,0,5,2,0,3,4,3,0,0,3,0,0,5,0,1,0,4,4,1,0,1,0,6,3,1,0,2,0,2,4,1,6,6,4,4,1,6,0,1,0,7,0,2,4,0,0,0
berlin,105,129,16,288,2,23,0,9,9,0,1,1,16,26,21,0,0,12,3,2,21,16,0,1,0,7,0,11,1,5,8,6,1,0,11,7,30,5,13,0,5,1,4,12,1,3,0,0,3,3,7,1,3,0,13,9,8,21,4,5,1,0,4,0,0,2,1,2,0,3,6,2,1,0,5,5,3,1,0,22,4,4,2,1,14,2,14,3,4,3,6,1,0,11,0,2,15,4,4,0
milano,3,3,0,2,6,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
barcelona,40,42,32,23,0,98,0,10,3,0,3,3,10,2,6,0,0,2,0,0,9,6,0,1,0,23,3,9,1,5,5,7,2,6,8,2,17,7,5,0,2,0,7,6,3,3,1,0,1,1,4,1,3,0,4,5,0,2,2,2,0,0,7,0,0,7,0,1,0,7,3,1,0,1,0,6,1,1,0,3,0,3,5,0,10,8,8,6,2,3,0,1,0,6,0,1,5,0,0,0
athinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roma,8,12,8,9,1,10,0,40,1,0,6,0,6,1,3,0,0,2,0,0,1,0,0,0,0,4,3,2,0,4,3,4,1,4,4,1,0,1,0,0,0,0,4,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,0,1,2,0,3,0,0,0,1,0,0,2,2,0,0,2,1,0,1,0,6,0,0,0,0,0,0
birmingham,19,66,5,9,0,3,0,1,99,0,1,1,27,4,2,0,0,2,0,0,2,4,0,0,0,1,1,17,0,2,1,16,1,1,8,2,8,2,1,0,1,0,1,1,1,10,1,0,1,0,1,0,1,0,2,3,0,2,12,1,0,0,1,0,0,0,0,0,0,1,16,0,0,0,1,17,7,0,0,1,0,9,8,0,20,0,3,0,1,6,0,0,0,1,0,0,1,0,1,0
lisboa,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napoli,2,2,4,1,1,3,0,6,1,0,12,0,3,1,1,0,0,1,1,0,1,0,0,0,0,2,3,2,0,1,1,4,1,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0
katowice,2,2,3,1,0,3,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,1,1,0,0,2,2,2,2,1,0,0,0,1,2,1,1,1,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
manchester,32,89,14,16,1,10,0,6,27,0,3,0,125,9,4,0,0,2,1,0,7,4,0,0,0,3,2,27,0,7,1,30,5,3,10,1,11,5,5,0,2,0,3,2,1,20,0,0,0,0,3,0,1,0,3,3,4,1,15,1,0,0,2,0,1,0,0,1,0,4,10,0,0,0,0,18,7,2,0,2,1,12,12,0,23,0,4,1,2,11,1,0,0,4,0,0,2,1,1,0
hamburg,26,36,5,26,1,2,0,1,4,0,1,0,9,69,4,0,0,5,0,0,9,10,0,1,0,2,0,2,0,3,1,3,2,0,1,0,11,2,4,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,3,2,9,5,1,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,6,4,3,2,1,2,0,5,1,2,2,4,1,0,3,0,0,5,0,1,0
budapest,22,25,6,21,1,6,0,3,2,0,1,2,4,4,46,0,0,1,0,0,4,3,0,0,0,1,0,4,0,0,3,2,0,0,5,3,5,2,1,0,1,0,1,5,1,2,1,0,2,0,1,2,0,0,1,3,0,4,1,2,0,0,2,0,0,0,1,1,0,1,3,1,0,0,1,2,1,1,0,1,1,0,0,0,2,0,4,2,3,0,0,1,0,1,0,1,2,1,1,0
bucuresti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warszawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stuttgart,5,11,4,12,0,2,0,2,2,0,1,0,2,5,1,0,0,25,1,0,3,1,0,0,0,0,0,1,0,0,0,2,0,1,2,1,4,0,6,0,2,0,1,0,1,1,0,0,0,2,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,1,3,0,1,0,0,1,3,0,0,1,0,1,0,1,0,0
wien,1,7,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,11,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
münchen,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brussels,48,43,6,21,1,9,0,1,2,0,1,1,7,9,4,0,0,3,0,0,96,7,0,2,0,4,0,2,0,6,2,2,3,1,7,4,19,8,8,0,11,0,3,13,0,2,0,0,0,0,2,2,1,0,1,2,3,2,0,2,0,0,4,0,0,0,0,0,0,4,0,0,1,0,3,3,2,1,0,2,0,0,2,0,5,0,13,7,1,0,1,0,0,2,0,1,13,1,1,0
stockholm,32,38,5,16,1,6,0,0,4,0,0,2,4,10,3,0,0,1,1,0,7,83,0,0,0,3,0,6,0,5,5,1,0,0,8,8,11,2,0,0,1,0,2,5,1,2,1,0,3,0,4,1,0,0,4,6,2,2,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,3,0,8,1,0,1,0,0,0,1,0,0,1,2,1,0
frankfurt am main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
köln,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
kobenhavn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valencia,12,13,13,7,0,23,0,4,1,0,2,1,3,2,1,0,0,0,1,0,4,3,0,0,0,41,1,2,0,6,3,3,2,3,6,0,6,0,1,0,2,0,6,4,1,1,0,0,1,0,3,1,1,0,0,1,1,1,0,0,0,0,7,0,0,6,0,1,0,6,0,1,0,1,2,1,0,2,0,0,0,1,0,0,3,7,5,4,0,1,0,0,0,4,0,1,0,0,0,0
torino,1,1,2,0,0,3,0,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1
glasgow,24,59,11,11,1,9,0,2,17,1,2,2,27,2,4,0,0,1,0,0,2,6,0,0,0,2,1,79,0,4,2,15,1,2,10,1,12,5,1,0,1,0,3,3,2,11,1,0,1,0,3,1,0,0,3,2,1,1,8,0,0,0,2,0,1,0,0,1,0,1,10,1,0,0,0,10,3,1,0,3,1,12,3,0,28,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0
praha,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyon,35,25,4,5,0,5,0,4,2,0,1,0,7,3,0,0,0,0,0,0,6,5,0,0,0,6,2,4,0,63,1,5,0,1,5,1,5,2,0,0,6,0,8,3,0,4,0,0,2,0,0,0,1,0,0,1,0,0,3,0,0,0,7,0,0,0,0,1,0,7,2,0,0,0,5,6,0,2,0,1,0,3,0,0,5,0,8,2,0,2,1,0,0,6,0,2,4,1,0,2
sofia,11,14,4,8,0,5,0,3,1,0,1,1,1,1,3,0,0,0,0,0,2,5,0,0,0,3,1,2,0,1,35,0,0,1,2,2,6,0,0,0,0,0,3,2,1,0,0,0,3,0,3,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,4,1,1,2,1,0,1,0,0,3,0,0,0,1,0,0
liverpool,19,51,10,6,0,7,0,4,16,0,4,1,30,3,2,0,0,2,1,0,2,1,0,0,0,3,2,15,0,5,0,69,3,3,11,2,8,1,1,0,0,0,1,1,1,13,1,0,1,0,0,0,1,0,2,1,1,0,12,3,0,0,0,0,1,0,0,1,0,1,7,0,0,0,0,14,4,1,0,1,1,7,8,0,11,0,4,1,1,7,1,0,0,3,0,1,0,0,1,0
porto,10,7,6,1,0,2,0,1,1,0,1,0,5,2,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,3,32,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,4,0,0,0,0,0,0
sevilla,0,1,5,0,0,6,0,4,1,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,2,2,0,1,1,3,1,8,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
dublin,30,67,7,11,0,8,0,4,8,0,0,2,10,1,5,0,0,2,2,1,7,8,0,0,0,6,0,10,0,5,2,11,1,1,97,2,10,3,0,0,3,0,3,3,1,5,1,0,2,0,2,1,0,0,3,5,2,1,6,0,0,0,6,0,1,1,0,0,0,5,10,2,0,0,2,6,5,1,0,0,0,18,2,0,15,0,4,3,0,6,0,0,0,0,1,0,1,0,0,0
helsinki,12,17,4,7,0,2,0,1,2,0,0,2,1,0,3,0,0,1,1,0,4,8,0,0,0,0,0,1,0,1,2,2,0,0,2,40,5,2,3,0,2,0,2,1,1,1,1,0,1,0,2,0,1,0,2,6,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,3,7,1,0
amsterdam,45,61,10,30,2,17,0,0,8,0,1,2,11,11,5,0,0,4,2,0,19,11,0,1,0,6,0,12,0,5,6,8,1,0,10,5,132,14,7,0,8,0,6,12,0,2,0,0,0,0,2,2,1,1,5,4,4,2,1,2,0,0,6,0,0,0,0,0,0,3,3,2,0,0,5,6,1,1,0,5,2,4,3,0,11,1,12,6,0,1,3,0,0,4,0,1,11,1,2,0
rotterdam,13,18,9,5,0,7,0,1,2,0,0,2,5,2,2,0,0,0,0,0,8,2,0,0,0,0,0,5,0,2,0,1,0,0,3,2,14,33,1,0,4,0,1,6,1,3,1,0,2,0,1,0,1,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,3,1,0,3,0,0,1,0,0,2,0,0,3,0,0,0
düsseldorf,9,10,3,13,0,5,0,0,1,0,0,1,5,4,1,0,0,6,0,0,8,0,0,2,0,1,0,1,0,0,0,1,1,0,0,3,7,1,20,0,2,0,0,2,0,0,0,0,0,2,0,2,1,0,1,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1,0,0,1,1,0,2,3,0,0,2,0,0,2,0,1,2,1,0,0
essen-oberhausen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lille,19,13,1,5,0,2,0,0,1,0,0,0,2,1,1,0,0,2,0,0,11,1,0,0,0,2,0,1,0,6,0,0,0,0,3,2,8,4,2,0,21,0,4,6,0,3,0,0,0,1,1,0,0,0,0,3,2,1,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,0,3,4,2,0,0
lodz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marseille,12,12,5,4,0,7,0,4,1,0,1,1,3,0,1,0,0,1,0,0,3,2,0,0,0,6,0,3,0,8,3,1,1,1,3,2,6,1,0,0,4,0,22,3,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,1,0,0,4,3,0,0,0,0,0,0,0,0,2,2,5,2,1,0,0,0,0,2,0,2,3,0,0,0
antwerp,21,26,7,12,0,6,0,1,1,0,0,2,2,3,5,0,0,0,1,0,13,5,0,0,0,4,0,3,0,3,2,1,0,1,3,1,12,6,2,0,6,0,3,38,1,1,0,0,0,0,2,2,1,0,2,1,1,0,0,2,0,0,4,0,0,1,0,0,0,2,0,1,0,1,3,1,2,0,1,2,0,0,1,0,3,1,5,6,0,1,0,0,0,4,0,1,5,0,0,0
bilbao,2,3,4,1,0,3,0,1,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,6,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
newcastle,14,37,9,3,0,3,0,1,10,0,0,1,20,1,2,0,0,1,0,0,2,2,0,0,0,1,0,11,0,4,0,13,1,0,5,1,2,3,0,0,3,0,2,1,1,49,1,0,1,0,1,0,0,0,2,2,1,2,8,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,11,4,0,0,0,0,5,8,0,9,0,0,0,1,8,0,0,0,3,0,0,2,1,0,0
krakow,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
