index,paris,london,madrid,berlin,milano,barcelona,athinia,roma,birmingham,lisboa,napoli,katowice,manchester,hamburg,budapest,bucuresti,warszawa,stuttgart,wien,münchen,brussels,stockholm,frankfurt am main,köln,kobenhavn,valencia,torino,glasgow,praha,lyon,sofia,liverpool,porto,sevilla,dublin,helsinki,amsterdam,rotterdam,düsseldorf,essen-oberhausen,lille,lodz,marseille,antwerp,bilbao,newcastle,krakow,bochum-herne,thessaloniki,nürnberg,riga,duisburg,dortmund,hannover,zürich,oslo,bremen,dresden,sheffield,palermo,poznan,gelsenkirchen-bottrop,bordeaux,wroclaw,göteborg,zaragoza,genova,catania,den haag,toulouse,bristol,vilnius,saarbrücken,malaga,nantes,leeds,nottingham,firenze,gdansk,leipzig,mannheim,belfast,portsmouth,venezia,edinburgh,murcia,nice,liège,bratislava,leicester,karlsruhe,bergamo,palma de mallorca,bologna,bielefeld,rouen,strasbourg,tallinn,szczecin,grenoble
bochum-herne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thessaloniki,4,6,1,3,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,0,2,3,1,0,0,2,1,0,2,0,0,0,0,0,0,1,1,1,0,16,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
nürnberg,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
riga,6,8,2,7,0,4,0,0,1,0,0,1,3,0,1,0,0,0,0,0,2,4,0,0,0,3,0,3,0,0,3,0,0,1,2,2,2,1,0,0,1,0,1,2,1,1,0,0,0,0,19,1,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,1,2,1,0
duisburg,3,2,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
dortmund,2,3,2,3,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
hannover,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zürich,17,17,5,13,0,4,0,0,2,0,0,2,3,3,1,0,0,2,2,0,1,4,0,0,0,0,0,3,0,0,0,2,0,0,3,2,5,4,1,0,0,0,0,2,1,2,1,0,2,0,0,0,1,0,34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,2,0,1,0,1,0,0,2,0,0,4,0,0,0
oslo,9,15,2,9,0,5,0,0,3,0,0,1,3,2,3,0,0,0,0,0,2,6,0,0,0,1,0,2,0,1,1,1,0,0,5,6,4,1,2,0,3,0,1,1,1,2,1,0,1,0,1,0,0,0,1,40,1,1,1,0,0,0,4,0,0,0,0,0,0,3,2,1,0,0,1,1,2,0,0,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0
bremen,2,9,0,8,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,1,0,0,2,1,4,0,1,0,2,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,5,2,1,0
dresden,17,17,3,21,0,2,0,0,2,0,0,0,1,5,4,0,0,3,0,0,2,2,0,0,0,1,0,1,1,0,3,0,2,0,1,2,2,1,3,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0,45,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,8,1,0,0,1,1,0,1,0,1,0,1,1,0,4,0,2,1,1,0,0
sheffield,8,32,4,4,0,2,0,0,12,0,0,0,15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,3,0,12,1,0,6,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,3,0,0,0,0,4,9,0,10,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
palermo,12,5,3,5,0,2,0,1,1,0,2,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,3,2,1,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,3,0,1,2,0,1,0,1,0,3,1,0,0,0
poznan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gelsenkirchen-bottrop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bordeaux,19,16,3,4,0,7,0,1,1,0,0,1,2,2,2,0,0,1,0,0,4,2,0,0,0,7,0,2,0,7,1,0,1,0,6,1,6,1,1,0,6,0,7,4,0,1,0,0,0,1,1,1,0,0,0,4,0,1,0,1,0,0,36,0,0,2,0,0,0,12,0,1,0,0,6,2,0,1,1,0,0,2,2,1,5,0,4,3,0,0,0,0,0,1,0,5,3,0,0,1
wroclaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
göteborg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zaragoza,5,5,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genova,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
catania,2,1,1,2,1,1,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0
den haag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toulouse,29,15,4,3,0,7,0,1,1,0,0,0,4,0,1,0,0,0,0,0,4,1,0,0,0,6,0,1,0,7,1,1,2,0,5,1,3,0,0,0,5,0,6,2,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,12,0,0,3,0,0,0,46,1,0,0,0,7,1,0,0,0,1,0,2,1,0,3,1,6,3,0,0,0,2,0,3,0,3,4,0,0,1
bristol,15,43,4,6,0,3,0,0,16,0,0,1,10,1,3,0,0,1,0,0,0,1,0,0,0,0,0,10,0,2,0,7,3,0,10,1,3,1,1,0,0,0,0,0,1,8,1,0,1,0,0,0,1,0,2,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,6,5,0,0,0,0,5,5,0,15,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1
vilnius,3,3,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
saarbrücken,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
malaga,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nantes,13,8,0,5,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,5,1,0,0,0,2,1,5,1,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,6,0,0,0,0,0,0,7,0,0,0,0,21,2,0,1,0,0,0,0,3,0,1,0,4,1,0,0,0,0,0,0,0,2,3,0,0,0
leeds,13,45,6,5,0,6,0,2,17,0,0,1,18,0,2,0,0,0,0,0,3,2,0,0,0,1,0,10,0,6,0,14,1,0,6,1,6,2,1,0,1,0,3,1,1,11,1,0,1,0,1,0,1,0,1,1,0,1,12,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,2,57,3,0,0,1,0,4,5,0,10,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0
nottingham,5,19,3,3,0,1,0,0,7,0,1,0,7,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,4,0,0,5,2,1,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,25,0,0,0,1,3,3,0,9,0,0,1,0,7,0,0,0,0,0,1,1,0,0,0
firenze,2,1,1,1,2,1,0,3,0,0,2,0,2,1,1,0,0,0,0,0,1,1,0,0,0,2,1,1,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
gdansk,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leipzig,18,22,2,22,0,3,0,0,1,0,0,0,2,6,1,0,0,3,1,1,2,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,5,0,5,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,4,2,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,44,2,0,0,0,1,0,3,0,0,0,2,0,0,3,0,1,2,0,0,0
mannheim,7,6,0,4,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0
belfast,6,32,2,4,0,3,0,1,9,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,3,1,7,1,0,18,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,2,0,1,0,0,0,0,2,5,0,0,0,0,4,3,0,0,0,0,51,3,0,15,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
portsmouth,7,27,4,2,0,5,0,0,8,0,0,0,12,2,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,8,0,0,2,0,3,2,0,0,1,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,1,5,0,0,0,3,5,3,0,0,0,0,3,34,0,8,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0
venezia,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
edinburgh,37,95,6,14,0,10,0,2,20,0,0,0,23,2,2,0,0,3,1,1,5,3,0,0,0,3,0,28,0,5,4,11,1,0,15,1,11,3,1,0,1,0,2,3,0,9,0,0,1,0,2,0,1,0,2,4,2,1,10,0,0,0,5,0,1,0,0,1,0,3,15,0,0,0,1,10,9,0,0,1,0,15,8,0,154,1,4,1,1,5,2,0,0,2,0,1,7,1,0,0
murcia,3,2,6,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nice,27,38,4,14,0,8,0,0,3,0,0,0,4,5,4,0,0,1,0,0,13,8,0,0,0,5,1,2,0,8,1,4,1,0,4,2,12,0,2,0,3,0,5,5,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,1,0,0,0,3,1,0,0,1,4,0,81,2,0,1,1,0,0,1,0,2,6,2,0,1
liège,10,12,4,3,0,6,0,0,0,0,1,1,1,1,2,0,0,0,1,0,7,1,0,2,0,4,0,2,0,2,2,1,0,0,3,0,6,3,3,0,1,0,2,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,26,0,0,0,1,0,0,0,0,3,0,0,0
bratislava,4,5,1,4,0,2,0,2,1,0,1,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,3,0,0,0,0,1,0
leicester,8,26,6,3,0,3,0,1,6,0,0,0,11,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,7,1,0,6,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,0,0,0,0,4,5,0,5,0,1,0,0,35,0,0,0,1,0,2,2,0,0,0
karlsruhe,5,4,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,14,0,0,1,0,0,2,1,0,0
bergamo,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0
palma de mallorca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bologna,23,13,7,11,2,6,0,6,1,0,5,1,4,3,1,0,0,1,1,0,2,1,0,0,0,4,3,1,0,6,3,3,4,3,0,2,4,2,2,0,1,0,2,4,2,3,0,0,0,1,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,1,4,0,3,0,0,0,1,0,1,0,2,0,3,2,0,0,2,2,1,1,0,3,1,1,1,0,63,0,0,5,0,0,0
bielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rouen,13,8,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,1,0,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,0,0,5,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1,0,2,0,0,2,0,0,0,0,0,21,3,0,0,0
strasbourg,26,25,4,15,0,5,0,0,1,0,0,1,2,5,2,0,0,0,0,0,13,1,0,1,0,0,0,0,0,4,0,0,0,0,1,3,11,3,2,0,4,0,3,5,0,2,0,0,1,0,1,0,1,0,4,5,5,1,1,1,0,0,3,0,0,0,0,0,0,4,1,0,1,0,3,0,1,0,0,2,0,0,1,0,7,0,6,3,0,2,2,0,0,5,0,3,51,1,0,0
tallinn,6,7,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,7,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,17,1,0
szczecin,1,0,0,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0
grenoble,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
